Code: af, Language: afrikaans, Translation: Goeie more
Code: ms, Language: malay, Translation: Selamat Pagi
Code: ml, Language: malayalam, Translation: സുപ്രഭാതം
Code: mt, Language: maltese, Translation: Bongu
Code: mi, Language: maori, Translation: Ata mārie
Code: mr, Language: marathi, Translation: शुभ प्रभात
Code: mn, Language: mongolian, Translation: Өглөөний мэнд
Code: my, Language: myanmar (burmese), Translation: မင်္ဂလာနံနက်ခင်းပါ
Code: ne, Language: nepali, Translation: शुभ - प्रभात
Code: no, Language: norwegian, Translation: God morgen
Code: or, Language: odia, Translation: ଶୁଭ ସକାଳ
Code: ps, Language: pashto, Translation: سهار مو پخیر
Code: fa, Language: persian, Translation: صبح بخیر
Code: pl, Language: polish, Translation: Dzień dobry
Code: pt, Language: portuguese, Translation: Bom dia
Code: pa, Language: punjabi, Translation: ਸ਼ੁਭ ਸਵੇਰ
Code: ro, Language: romanian, Translation: Buna dimineata
Code: ru, Language: russian, Translation: Доброе утро
Code: sm, Language: samoan, Translation: Manuia le taeao
Code: gd, Language: scots gaelic, Translation: Madainn mhath
Code: sr, Language: serbian, Translation: Добро јутро
Code: st, Language: sesotho, Translation: Khotsong
Code: sn, Language: shona, Translation: Mangwanani akanaka
Code: sd, Language: sindhi, Translation: صبح جو سلام
Code: si, Language: sinhala, Translation: සුභ උදෑසනක්
Code: sk, Language: slovak, Translation: Dobré ráno
Code: sl, Language: slovenian, Translation: Dobro jutro
Code: so, Language: somali, Translation: Subax wanaagsan
Code: es, Language: spanish, Translation: Buen día
Code: su, Language: sundanese, Translation: Wilujeng énjing
Code: sw, Language: swahili, Translation: Habari za asubuhi
Code: sv, Language: swedish, Translation: God morgon
Code: tg, Language: tajik, Translation: Субҳ ба хайр
Code: ta, Language: tamil, Translation: காலை வணக்கம்
Code: te, Language: telugu, Translation: శుభోదయం
Code: th, Language: thai, Translation: สวัสดีตอนเช้า
Code: tr, Language: turkish, Translation: Günaydın
Code: uk, Language: ukrainian, Translation: Добрий ранок
Code: ur, Language: urdu, Translation: صبح بخیر
Code: ug, Language: uyghur, Translation: خەيرلىك ئەتىگەن
Code: uz, Language: uzbek, Translation: Xayrli tong
Code: vi, Language: vietnamese, Translation: Chào buổi sáng
Code: cy, Language: welsh, Translation: Bore Da
Code: xh, Language: xhosa, Translation: Mholo
Code: yi, Language: yiddish, Translation: גוט מארגן
Code: yo, Language: yoruba, Translation: E kaaro
Code: zu, Language: zulu, Translation: Sawubona
